编号,名称 / 文号,形成日期,采用内容与状态
资料01,"销售需求预测备忘录
CY-XS-2026-0912",2026.09.12,两期需求；意向预测，非订单
资料02,"装备方案预比较与能力说明
CY-GC-2026-0915",2026.09.15,能力参数、备选方案；待验证
资料03,"禾进装备及配套采购询价摘要
Q-2026-0910-R2",2026.09.10,设备及系统报价；有效至10.10
资料04,"二号厂房改造初估及面积登记
CY-JS-2026-0913",2026.09.13,面积、建筑公辅预算和其他费用
资料05,"财务测算参数确认单
CY-CW-2026-0916",2026.09.16,价格、成本、周转、人员费用及公式
资料06A,"接入点配电可用余量初查表
CY-DL-2026-0908",2026.09.08,800kW；与06B存在差异
资料06B,"接入点负荷复核记录
CY-FH-2026-0916",2026.09.16,650kW；未说明对06A的替代关系
资料07,"现场踏勘问题清单
CY-AH-2026-0914",2026.09.14,专项条件待确认，不是验收结论
资料08,"项目预审会议纪要
CY-XM-2026-0917",2026.09.17,约束、意向资金和阶段推进要求
资料09,"2025年旧业务经营摘要
CY-YY-2025-12",2026.01.12,T-200历史业务；非本项目预测
资料10,"实施排期与定员测算记录
CY-JH-2026-0916",2026.09.16,阶段月数、岗位配置及起止计划
